,Address,Cusines,Restaurant,Latitude,Longitude,Clusters
1394,30 Robertson Quay#01-05Riverside Village Residences Singapore (238251),Japanese,Unagiya Ichinoji (Robertson Quay),1.2912881,103.8413851,34
1395,368 Alexandra Road Anchorpoint Shopping Centre Singapore (159952),"Chinese, Seafood, Local, Zi Char",Uncle Leong Seafood (Anchorpoint),1.2889717,103.8056418,27
1396,6 Tebing Lane #01-03Singapore (828835),"Chinese, Seafood, Local, Zi Char",Uncle Leong Seafood (Punggol),1.3924633,103.9160714,1
1397,83 Punggol Central#B1-21Waterway Point East Wing Singapore (828761),"Chinese, Seafood, Zi Char",Uncle Leong Signatures (Waterway Point),1.40669,103.9021738,1
1398,7500A Beach Road#B1-310The Plaza Singapore (199591),Japanese,Uni Gallery by Oosterbay,1.299739,103.860815,8
1399,91 Bencoolen Street#01-1819Sunshine Plaza Singapore (189652),"Japanese, Seafood",UOUO,1.3005314,103.8508826,45
1400,57 Tras Street#01-01Singapore (078996),Japanese,Ushidoki Wagyu Kaiseki,1.2779431,103.8444554,31
1401,60 Collyer Quay Level 8OUE Tower Singapore (049322),Japanese,USHIO,1.283527,103.853136,49
1402,501 Orchard Road#02-15/16Wheelock Place Singapore (238880),Japanese,Uya 四代目菊川 Japanese Unagi Restaurant,1.30447,103.830841,11
1403,6 Scotts Road#03-13Scotts Square Singapore (228209),Modern Asian,V-DINING by V-ZUG,1.3058788,103.8329554,11
1404,281 Holland Avenue#01-01Singapore (278996),"Korean, All-Day Breakfast, Mexican",Vatos Cantina Holland Village,1.3118231,103.7955295,9
1405,36 Beach Road#01-03Singapore (189766),"American, Korean, Mexican, Burgers",Vatos Urban Tacos,1.295766,103.856179,16
1406,1218 Upper Thomson Road#01-02Springleaf Nature Park Singapore (787136),Cafe,Verdure Cafe,1.4010103,103.8176298,39
1407,40 Boat Quay Singapore (049829),"Bar, Italian, Seafood, Vegetarian Friendly",Vespetta Italian Restaurant,1.2865386,103.8495606,24
1408,1 Stars Avenue Level 3Mediacorp Campus Singapore (138507),"American, All-Day Breakfast, Local, Cafe",Vibes Cafe (Mediacorp Campus),1.2951637,103.7921409,9
1409,3 Gateway Drive#01-42Westgate Singapore (608532),"Local, Cafe",Vibes Cafe (Westgate),1.3345157,103.7427902,3
